书名,作者,价格
小王子（袁泉、王一博推荐，畅销350万册，1069181条当当读者五星好评。作者基金会官方认证简体中文版）【果麦经典】,（法）安托万・德・圣埃克苏佩里，译者 李继宏，果麦文化 出品,¥19.90
幽微的人性,李玫瑾,¥19.70
爱你就像爱生命（精装彩插典藏版）,王小波 李银河 著，博集天卷 出品,¥18.90
人性的弱点（薛之谦推荐，畅销100万册）【果麦经典】,戴尔・卡耐基 著，陶�� 译，果麦文化 出品,¥16.00
生活需要仪式感 （把温暖和感动带给你在乎的人）,李思圆 著，文通天下 出品,¥15.30
世界博物馆奇妙之旅（全5册，专为孩子打造的博物通识启蒙绘本。复旦大学文物与博物馆学系周婧景副教授权威推荐。日销量ZUI高达10000册，一月内加印3次，本周六可发货，请放心购买）,徐晓燕 黄纷纷 蒋佳宁 著，布克布克 绘，张荣梅 策划，小当当童书馆 出品,¥59.40
小熊宝宝绘本（2018版全15册）蒲蒲兰经典畅销绘本！新手妈妈的育儿宝典，销量超千万册！(0-3岁),佐佐木洋子 文/图，蒲蒲兰 译,¥48.00
我们的身体,[法]艾德兰  文，[法]巴尔博里尼  绘，荣信教育  出品,¥60.40
围城,钱钟书　著,¥27.30
浮生六记（李现推荐版本，畅销300万册，1041725条当当读者五星好评。沈复给芸娘的绝美情书）【果麦经典】,沈复 著 ， 张佳玮 译，果麦文化 出品,¥15.80
许三观卖血记（新版）,余华,¥16.00
刻意练习：如何从新手到大师 团购电话:4001066666转6,[美] 安德斯・艾利克森、王正林,¥21.30
不可思议的旅程（凯迪克大奖绘本三部曲）,[美] 艾伦・贝克尔 著， 爱心树童书  出品,¥76.00
阿米巴经营――畅销十周年纪念版，当当全国独家（团购，请致电400-106-6666转6）,[日]稻盛和夫 著，曹岫云 译,¥15.70
把坏脾气收起来,〔美〕卡罗尔・罗思，（美）拉申・凯里耶,¥18.00
曹文轩纯美小说：青铜葵花,曹文轩,¥11.00
曹文轩纯美小说系列：草房子,曹文轩,¥11.00
庚子千人历（上海人民美术出版社官方2020年连环画日历 连友收藏必备！）,上海人民美术出版社×九口山,¥35.00
人间词话（近代极富盛名的词话著作，集编、校、释、评于一体，赏读于一书）（1-9年级必读书单）,王国维　著,¥11.50
斯凯瑞金色童书・益智经典（百年诞辰纪念版，全4册）（原斯凯瑞金色童书・第一辑）,【美】理查德・斯凯瑞  著 李晓平  等译,¥49.00
你的善良必须有点锋芒,慕颜歌  著，文通天下  出品,¥14.00
埃及四千年（破解四千年王朝兴衰秘密的里程碑式巨作）,[英]乔安・弗莱彻,¥59.00
云边有个小卖部,"张嘉佳 著,博集天卷 出品",¥17.80
钝感力（渡边淳一经典：具备不为小事动摇的钝感力，才能成为真正的赢家)（团购，请致电400-106-6666转6）,渡边淳一著；李迎跃 译;,¥16.00
笑场（《吐槽大会》总策划、《奇葩说》导师李诞首部作品，精装版）,李诞 著，博集天卷 出品,¥15.20
银火箭少年科幻系列 （8册。亚洲首位“雨果奖”得主刘慈欣主编，根据《流浪地球》改编的电影大年初一上映。套装内图书获银河奖特等奖等多项国际大奖，全球销量超500万册）,刘慈欣、[英]赫伯特・乔治・威尔斯、[英]玛丽・雪莱等 著，张荣梅 策划，小当当童书馆 出品,¥128.00
沉默的大多数（手稿珍藏版，肖战推荐）,王小波 著，新经典 出品,¥17.50
牧羊少年奇幻之旅（央视《朗读者》、湖南卫视《天天向上》、李现、黄轩、TFBOYS、高圆圆推荐，能改变一个人一生的书）,（巴西）保罗・柯艾略 著，新经典 出品,¥35.00
宇宙 （雨果奖、普利策奖、艾美奖得主卡尔萨根经典作品）,卡尔・萨根,¥30.40
流浪的地球（刘慈欣著，无删节无改写，大人孩子均可阅读，此版本当当网销量遥遥领先！根据本书改编的同名电影2019春节上映。）,刘慈欣 著，张荣梅 策划，小当当童书馆 出品,¥14.50
人生（影响千万青年的励志名篇，故事里的中国，董卿、马云、贾樟柯倾情推荐！）,路遥  著，新经典 出品,¥23.80
米小圈上学记二年级（套装共4册）,北猫,¥50.00
好妈妈胜过好老师（700万册纪念版）,尹建莉,¥24.50
82年生的金智英,[韩]赵南柱 著 尹嘉玄 译,¥31.00
我们仨（新版）,杨绛,¥14.00
这就是二十四节气：升级版 全四册(文津图书奖获奖图书，销量逾300万册，当当网畅销好书、口碑童书。),高春香、邵敏/著；许明振、李婧/绘,¥75.00
我的神奇马桶（奇思妙趣三部曲）（全3册）,[日] 铃木典丈/著   彭懿/译,¥44.70
全球最美的100个地方 图说天下 国家地理,<图说天下.国家地理系列>编委会,¥8.00
神奇校车・动画版（全10册）,"作者:乔安娜柯尔 著,布鲁斯迪根 绘 , 漆仰平 译",¥59.00
漫长的告别（怪不得村上春树读了12遍！每每陷入困境，村上春树便打开《漫长的告别》！全新精装插图珍藏版！）（读客经典文库）,雷蒙德・钱德勒 著；姚向辉 译；读客文化 出品,¥34.20
东野圭吾：嫌疑人X的献身（王凯、张鲁一推荐，至为纯粹的爱情，绝好的诡计）,东野圭吾 著，刘子倩 译，新经典 出品,¥35.00
被讨厌的勇气：“自我启发之父”阿德勒的哲学课(两种版本随机发放),"岸��一郎, 古�R史健",¥29.80
学会爱自己（全14册安全意识、行为习惯培养绘本）（必备安全教育儿童绘本！学会抵御心理伤害，培养健康性格！学会管理自己，做对自己负责任的主人！）,珊蒂克雷文，茱蒂柏斯玛，佩特拉敏特尔（德），安德烈乌斯塔科夫（德）等,¥96.00
任溶溶系列：没头脑和不高兴(注音版）,任溶溶 著,¥8.90
小威向前冲,[美]尼古拉斯・艾伦 著；漆仰平 译,¥18.00
好看的皮囊千篇一律，有趣的灵魂万里挑一（老杨的猫头鹰最新作品“醒脑之书”系列之三）,老杨的猫头鹰,¥17.90
人间处方：夏目漱石写给青年的信（103个应对世界的方式，与不安、逆境、挫折从容共存的人生指南）,中川越 著  黄毓婷 译  时代华语 出品,¥22.50
自在独行 贾平凹的独行世界（畅销300万册的国民精神读本，中国作家协会推荐精读）,贾平凹 著 时代华语 出品,¥19.50
范志红健康日历2020,范志红  著,¥45.00
【2019诺贝尔经济学奖得主作品】 贫穷的本质（修订版）：我们为什么摆脱不了贫穷,（印度）阿比吉特?班纳吉(Abhijit V.Banerjee)、（法）埃斯特?迪弗洛(Esther Duflo),¥34.80
富爸爸穷爸爸（新版本）当当投资理财类畅销图书！本版随书附赠价值198元的“小白财商在线课程”,【美】罗伯特・清崎    萧明 译,¥44.10
挪威的森林（2018年新版，村上春树的残酷青春物语，现象级的超级畅销书，三十周年纪念版）,【日】村上春树 林少华 译,¥18.80
如何说孩子才会听 怎么听孩子才肯说（全新修订版，涂磊推荐）,（美）玛兹丽施　著，安燕玲　译 青豆书坊 出品,¥16.50
大败局I、II（纪念版）当当独家套装  （财经作家吴晓波经典之作，影响中国商业界的二十本图书”之一，关于中国企业失败的MBA式教案）,吴晓波,¥58.00
蔡康永的情商课：为你自己活一次（印章版）,"蔡康永 著,博集天卷 出品",¥21.00
论语别裁（独家授权简体版套装两册）,南怀瑾,¥49.00
活着（精装版，余华代表作，易烊千玺推荐阅读版本）,余华 著，新经典 出品,¥17.50
地图 人文版（升级版）手绘世界地图 儿童百科绘本,[波]亚历山德拉・米热林斯卡，[波]丹尼尔・米热林斯基 著，冯婷 等译,¥84.00
李诞 冷场（新版！《奇葩说》导师，《吐槽大会》总策划李诞全新自扯自蛋短篇故事集）,李诞  韩寒监制， 果麦文化 出品,¥22.30
魔法拼音国（套装 共7册）,姜自霞,¥49.00
苏菲的世界（新版）（5-6年级读书清单）,乔斯坦・贾德,¥19.00
半小时漫画中国史4（看半小时漫画，通五千年历史！漫画科普开创者二混子新作！一到宋朝，梗就扑面而来！系列第4部）,陈磊 (笔名：二混子) 著；读客出品,¥24.90
原则 principles 雷・达里奥著 跨年演讲推荐图书 团购电话:4001066666转6,[美]瑞・达利欧（Ray Dalio）,¥58.80
你有多自律，就有多自由,卡西,¥19.90
狼图腾(修订版)（一部描绘、研究蒙古草原狼的“旷世奇书”）（1-9年级必读书单）,姜戎著,¥15.50
半小时漫画经济学：生活常识篇+金融危机篇（套装共2册）（半小时系列新作！用特别有趣的方式，讲清楚特别艰深的经济学原理。）,陈磊・半小时漫画团队,¥50.90
半小时漫画唐诗系列（套装全2册）（唐诗系列完结篇！漫画科普开创者二混子新作！全网粉丝700万！看起来都是笑点，实际上全是考点！）,陈磊・半小时漫画团队,¥49.90
米小圈上学记四年级（套装共4册）,北猫,¥50.00
苏东坡传（林语堂精装2018版）（1-9年级必读书单）,"林语堂 著,博集天卷 出品",¥23.70
地狱变：芥川龙之介代表作，人生比地狱更像地狱！,（日）芥川龙之介 著,¥24.00
写给儿童的中国地理（全14册）,陈卫平、陈雨岚等 步印童书 出品,¥196.00
可爱的身体 （全8册）,[日]七尾纯 小林雅子 文 [日]今井弓子 等 图， 爱心树童书  出品,¥59.00
米小圈上学记三年级（套装共4册）,北猫,¥50.00
第一次十字军东征（剖析十字军背后真实的权力游戏！乌合之众只能任人摆布！畅销巨著《丝绸之路：一部全新的世界史》作者经典作品）,[英]彼得・弗兰科潘 (Peter Frankopan),¥34.90
养育男孩（典藏版）,(澳) 史蒂夫・比达尔夫,¥19.90
墨菲定律,张文成   著，文通天下  出品,¥14.00
毛泽东选集（全四册，32开）,毛泽东 著,¥61.90
原声触摸发声书：听，什么声音（套装全6册）,"YOYO出版社 著绘,步步联盟 译",¥163.40
凡是过去，皆为序曲：2020小林漫画日历,林帝浣 绘著,¥49.00
杀死一只知更鸟（精装）,哈珀・李　著,¥24.00
不一样的卡梅拉手绘本（1-12册）,"（法）克利斯提昂 约里波瓦著郑迪蔚译 ,（法）克利斯提昂 艾利施绘",¥59.40
终身成长：重新定义成功的思维模式,[美]卡罗尔・德韦克（Carol Dweck) ， 译者：楚�t楠   后浪,¥24.90
DK博物大百科――自然界的视觉盛宴,英国DK公司,¥320.00
夏洛书屋经典版・总有一天会长大,挪]托摩脱・蒿根 裴胜利 译,¥13.30
宫西达也恐龙系列全套7册（你看起来好像很好吃+我是霸王龙等）,宫西达也 文/图，杨文 晓晗 译,¥81.90
郑渊洁给孙女的好习惯书：十二生肖童话绘本,郑渊洁 著,¥67.50
断舍离（2019新版，全新修订50%以上内容）宫崎骏、张德芬、李冰冰的减法哲学,"山下英子 著,博集天卷 出品",¥22.50
六层楼 女生呵护指南 第十一诊室,六层楼 著,¥54.00
神奇的逻辑思维游戏书,【日】索尼国际教育公司 著，阳光博客 出品,¥22.50
曹文轩文集典藏版（全7册）,曹文轩   著,¥84.00
父与子全集（彩色注音版）,卜劳恩,¥12.40
父母的语言：3000万词汇塑造更强大的学习型大脑（樊登推荐） 团购电话:4001066666转6,[美]达娜・萨斯金德，MD贝丝・萨斯金德（Beth Suskind）莱斯利・勒万特-萨斯金德、任忆译,¥29.40
月亮和六便士（全新导读无删节详注版！ 半年创当当110000名读者五星好评奇迹）看“一本好书”，在当当享阅读之趣,〔英〕毛姆 著  苏福忠 译,¥10.80
资治通鉴少年简读版(套装全4册） 四册盒装，精华简读；史家打造，全彩插图！,何孝荣 侯振龙,¥78.00
姜小牙上学记（套装共4册）,北猫,¥44.60
遇见未知的自己,张德芬 著，博集天卷 出品,¥19.00
小兔汤姆旅行版（全26册）,（法）玛莉-阿丽娜・巴文　图，（法）克斯多夫・勒・马斯尼　文，  梅莉、梅思繁　等译,¥63.00
养育女孩,Steve Biddulph,¥16.00
干法,[日]稻盛和夫,¥30.70
墨菲定律,阳知行,¥21.60
罗生门（芥川龙之介小说集）《人间失格》作者太宰治是芥川的头号书迷，李现推荐,［日］芥川龙之介 著，高慧勤 译,¥12.40
这就是物理（函套10册）,约瑟夫・米森（Joseph Midthun） 萨缪・希提（Sam Hiti）,¥100.00
哈利・波特（套装1-7册）《语文》教材推荐阅读书目，外国儿童文学经典，新英国版封面平装版,（英）J.K.罗琳 著； 苏农，马爱农，马爱新 译,¥328.50
从小爱科学・有趣的物理（全16册）,译者： 沈丹丹、柳恋清 等,¥64.00
红岩（七年级下册必读）,罗广斌，杨益言,¥22.70
梅格时空大冒险・7~14岁儿童文学科幻经典（含《时间的折皱》[又名时间的皱折/时间的皱纹]）（套装全5册）,[美]马德琳・英格 著；读客文化 出品,¥108.40
美国儿科学会育儿百科（第6版，2018全新增订),〔美〕斯蒂文・谢尔弗 主编  陈铭宇，周莉，池丽叶 等 译,¥53.40
斯凯瑞金色童书・第三辑（全3册）,（美）斯凯瑞  著，谢旭华  译,¥9.00
国家宝藏日历2020年,盖钰涵,¥49.00
见识城邦・人类简史：从动物到上帝（新版）,[以色列] 尤瓦尔・赫拉利（Yuval Noah Harari）,¥42.10
穿过历史线，吃透小古文（当当独家签名+专享20节小古文王芳范读音频）,王芳 著,¥109.50
0-4岁幼儿认知小百科（全3册),[日]吉田纯子 绘；徐超 译；心喜阅童书 出品,¥59.70
四五快读 全彩图升级版――幼儿快速识字阅读法（全8册）(让孩子爱上阅读 快乐识字)[精选套装],杨其铎　著,¥105.70
天才在左 疯子在右(2018全新完整版),高铭 著，磨铁图书 出品,¥46.30
国际大奖小说（全6册）-蒲公英儿童文学馆出品,［美］杰奎琳・凯利 ［美］文斯・沃特?［美］兰德尔・赖特 等著 ； 马爱农 刘清彦 舒杭丽 邹嘉容 肖毛 陈静抒 译,¥92.00
格局（新版）：思维决定出路，格局决定结局,"何权峰 著,  悦读纪 出品",¥18.00
母爱的羁绊,（美）麦克布莱德　著，于玲娜　译,¥23.00
奇先生妙小姐・全新译本（全83册）,[英]罗杰・哈格里维斯　著，童趣出版有限公司 编,¥229.00
三毛全集02：撒哈拉的故事（1-9年级必读书单）,三毛 著，新经典 出品,¥35.00
次第花开 2017修订版,希阿荣博堪布,¥18.90
我的妈妈是精灵(百万纪念版，全新修订，入选小学生基础阅读书目）,陈丹燕,¥12.50
这里是中国,星球研究所，中国青藏高原研究会,¥126.00
墨菲定律(精装纪念版),张文成,¥19.20
罗尔德・达尔作品典藏（彩图拼音版）―了不起的狐狸爸爸,(英) 罗尔德・达尔 著； (英) 昆汀・布莱克绘；代维 译。,¥13.90
我的专注力训练游戏（全3册）,[日]efuca.伊藤由香 著  胡静 译,¥29.40
数学原来可以这样学（畅销日本300万册，小学生家长必备。让孩子爱上数学的神奇魔法书！随书赠送数学练习簿）,野口哲典 著，博集天卷 出品,¥21.70
摆渡人（系列畅销千万册。如果命运是一条孤独的河流，谁会是你灵魂的摆渡人？《摆渡人》完结篇即将上市！）,[英]克莱儿・麦克福尔，白马时光 出品,¥17.80
深度思考：不断逼近问题的本质,[美]莫琳・希凯 著 孔锐才 译 时代华语 出品,¥24.00
狼王梦（升级版）/动物小说大王沈石溪・品藏书系,沈石溪,¥13.00
皮特猫・3~6岁好性格养成书：第一辑（套装共6册）（乐观、积极、开朗……荣获19项大奖的好性格榜样，在美国家喻户晓）,[美]艾瑞克・利温、[美]詹姆斯・迪安 著；彭懿、杨玲玲 译；读客文化 出品,¥69.90
DK儿童百科全书系列超值礼品套装（精装全5册）（2018年全新修订版）,英国DK公司　编著,¥330.00
岛上书店（李现推荐，每个人的生命中，都有无比艰难的那一年，将人生变得美好而辽阔。加・泽文感动全球千万读者的治愈小说！）,（美）加・泽文 Gabrielle Zevin 著；孙仲旭、李玉瑶 译；读客文化 出品,¥17.50
你好！数学（超值礼品盒装，共30册）,申惠恩　等文，赵美子　等图，仇艳　等译,¥120.00
信谊世界精选图画书-我的情绪小怪兽,[西班牙] 安娜・耶纳斯 著,¥24.90
乖，摸摸头2.0（大冰作品！当当专享100%大冰签名。和大冰一起，DIY专属自己的小乖！）,大冰  磨铁出品,¥36.80
所谓情商高，就是会说话,佐佐木圭一 著 程亮 译 时代华语 出品,¥16.00
华为没有成功，只有成长：任正非传,林超华,¥24.90
撒野（巫哲新书）,巫哲,¥41.80
喝月亮的女孩・纽伯瑞金奖,【美】凯莉・巴恩希尔 著   【美】舒杭丽 译,¥19.90
乌丢丢的奇遇 曹文轩推荐儿童文学经典书系 33万多名读者热评！,金波 著,¥12.00
樊登推荐 你就是孩子最好的玩具（升级版）,（美）金伯莉・布雷恩（Kimberley Clayton Blaine）著夏欣茁译,¥19.00
我爸爸+我妈妈（全2册）――清华附小推荐经典儿童绘本 ！（启发童书馆出品）,〔英〕安东尼?布朗,¥51.20
胡萝卜的种子,（美）露丝・克劳斯， 爱心树童书  出品,¥22.40
放学后（东野圭吾成名作）,〔日〕东野圭吾 著，新经典 出品,¥45.00
不老泉文库 3 时代广场的蟋蟀,乔治・赛尔登,¥8.90
乡土中国（精装）2019年语文新课标课外必读图书！畅销十年！费孝通著作！累计评价10万+,费孝通,¥10.50
信谊世界精选图画书・爷爷一定有办法,[加] 菲比・吉尔曼 著；宋�� 译,¥19.40
轻狂（既要今朝醉，也要万年长。畅销书作家巫哲全新燃情力作。《撒野》热血兄弟篇。轻狂一场，无悔青春。随书附赠人物大海报+卡贴+卡立+书签）,巫哲,¥24.90
戴建业 精读世说新语（2019全新升级版，超千万人点赞，10小时狂销4000册！陈引驰、骆玉明、六神磊磊推荐！）,戴建业， 果麦文化 出品,¥51.00
幼儿学古诗（绘本版，全2册）,中国教育科学研究院学前教育研究中心,¥49.00
圣诞老人（全三册）,[芬] 毛里・库纳斯 [芬] 塔莉娅・库纳斯著 张蕾 译,¥68.00
邦臣小红花・0-3岁专注力训练贴纸书 全6册,北京小红花图书工作室,¥27.61
金字塔原理（全新精装修订版，麦肯锡40年经典培训教材）,芭芭拉 ・ 明托  著 ，新经典  出品,¥44.00
国博日历2020年,国博（北京）文化产业发展中心、北京至元千禧文化科技有限公司,¥49.50
乌鸦面包店（全5册）,（日）加古里子 著，（日）猿渡静子 译， 爱心树童书  出品,¥50.80
夏洛的网（新）,（美）怀特　著，任溶溶　译,¥19.50
动物小说大王沈石溪・品藏书系：斑羚飞渡（升级版）,沈石溪,¥12.00
高效能人士的七个习惯（30周年纪念版）：打造一套全新的思维方式和原则体系,（美）史蒂芬・柯维,¥59.30
去旅行系列（全3册）法国教育部力荐！新增中国版，深度知识体系的人文地理百科书,[法]米莉・卡布罗尔，《去旅行》（中国版）编委会等著；[法]卡米耶・拉杜斯，虫孚虫�宓然妫唤��D译；,¥162.00
如果历史是一群喵5-乱世三国篇,肥志 编绘,¥40.00
三体（刘慈欣代表作，亚洲首部雨果奖获奖作品！）,刘慈欣,¥13.10
信谊世界精选图画书・逃家小兔,[美] 玛格丽特・怀兹・布朗 著；[美] 克雷门・赫德 绘；黄�i毓 译,¥16.90
信谊世界精选图画书・蚯蚓的日记,[美] 朵琳・克罗宁 著；[美] 哈利・布里斯 绘；陈宏淑 译,¥18.40
无声告白（我们终此一生，就是要摆脱他人的期待，找到真正的自己。就是她！征服欧美文坛的华裔作家伍绮诗！）,（美）伍绮诗 著，孙璐 译；读客文化 出品,¥17.50
犟龟,米切尔.恩德，文，[德] 曼弗德雷.施吕特，图 著,¥17.80
一古拉的岔路口冒险：全3册,[日]幼发拉底 著/绘；王维幸 译；心喜阅童书 出品；,¥73.50
郑渊洁四大名传（全4册）,郑渊洁　著,¥49.30
德国精选科学图画书 （肚子里有个火车站+牙齿大街的新鲜事，套装2册，扫二维码听春天姐姐讲故事）,〔德〕安娜・鲁斯曼,¥35.00
德鲁克 卓有成效的管理者（2019年新版）,[美]彼得?德鲁克（Peter F. Drucker）,¥46.90
房思琪的初恋乐园,林奕含 著，磨铁图书 出品,¥41.80
猜猜我是谁系列套装（全4册）,（美）尼娜兰登　　著，张芳　译,¥39.00
可复制的领导力：樊登的9堂商业课（团购，请致电400-106-6666转6）,樊登,¥29.40
夏天、烟火和我的尸体（乙一16岁惊世成名作，高口碑暗黑杰作，获第6届JUMP小说大奖）,（日）乙一   著，  新经典   出品,¥22.50
外婆的道歉信（畅销100万册，马思纯领读书目。人民日报、央视好评。张皓宸、七英俊推荐。口碑爆棚的温情小说。附赠一封神秘道歉信）,[瑞典]弗雷德里克・巴克曼，译者 孟汇一，果麦文化 出品,¥21.00
如果历史是一群喵4-东汉末年篇,肥志 编绘,¥40.00
0-3岁亲子游戏纸板书（全5册）,[日] 冬野一子 等/著；[日] 齐藤忍 等/绘；[日]柏原晃夫 设计；周龙梅 译；心喜阅童书 出品,¥99.50
一个人张灯结彩（易烊千玺推荐）,田耳,¥19.00
格局：世界永远不缺聪明人（吴军作品）,吴军,¥44.20
观山海  “百鬼画师”杉泽绝美诠释山海经,"杉泽 著,博集天卷 出品",¥79.80
信谊世界精选图画书-好饿的毛毛虫,艾瑞・卡尔 著,¥23.40
中国国家博物馆儿童历史百科绘本（5册）,中国国家博物馆 著，童趣出版有限公司 编,¥120.00
福尔摩斯探案集（中小学新课标必读名著）130000多名读者热评！,(英）柯南 道尔，童趣出版有限公司,¥10.80
诺奖少年版（全30册。37万五星好评，日销ZUI高达50000册，系列销量突破5000000册，教育部全国语文教材审定委员会金波审定，全国多所小学推荐阅读书目）,海明威  罗曼・罗兰  塞尔玛・拉格洛夫 等，张荣梅 策划，小当当童书馆 出品,¥264.00
第七天（2018版）,余华,¥19.70
长安十二时辰（上下册）,"马伯庸 著,博集天卷 出品",¥33.60
上下五千年（最新版）,林汉达　等著,¥44.00
希利尔讲世界史、世界地理、艺术史 套装,（美）希利尔  著，陈继华 等译 ，步印童书 出品,¥68.20
读懂孩子的心：樊登2019年新书.,樊登,¥33.60
神奇校车・阅读版（全16册）-儿童文学,乔安娜柯尔、布鲁斯迪根  著，漆仰平，汪晓英，静博　译,¥64.00
