文章标题,文章链接,文章摘要
记住就是一切,https://zhuanlan.zhihu.com/p/27892176,我小学六年级时，学校为了冲刺当时市里最好的一所初中，组织了个提高班——该初中当时有九成概率进无锡市一中，无锡市一中又是百分百本科七成一本率的高中，乃是当时全市学校用来冲业绩的好所在。 学校拣选了年级里成绩最好的24位，搁进提高班里，放学后另…
挟孩子骗钱的假乞丐，坑的不只是给钱的人,https://zhuanlan.zhihu.com/p/24071080,洪七公一边撕叫花鸡吃，一边含含糊糊地对郭靖黄蓉道：“我适才将丐帮的规矩都说了一遍，你可都听懂了？”黄蓉点了点头，郭靖挠了挠后脑，道：“蓉儿聪明，听了就懂，弟子却还是不甚明白。这污衣派和净衣派，却有什么分别？” 蓉儿道：“傻哥哥，这不是极明…
如果本届世界杯影响了姚明为中国男篮谋的大局……,https://zhuanlan.zhihu.com/p/81724677,中国队输给尼日利亚了。这么说有点奇怪，但只看内容，这是中国队本届世界杯，两场好比赛之一——另一场是打波兰的前39分钟。像打韩国，虽然赢了，但那份磨叽，也不提了。 上一场后提过，<b>打球果断</b>的重要性。中国队套路，无论是钻石还是牛角，都好在进攻选项…
记住，南京大屠杀,https://zhuanlan.zhihu.com/p/24348434,今天公众号后台有一位给我留言，如是说：今天是南京大屠杀纪念日（张佳玮私人注：这位用词不大对，应为<b>南京大屠杀死难者国家公祭日</b>），希望您能写一篇相关的文章，提醒人们勿忘国耻，谢谢我回了一句：这不是我们的国耻。是<strong>我们的</strong><strong>国难</strong>，<strong>日本的</strong><strong>国耻</strong>。 当然，…
最燃的时刻……莫过于变成超级赛亚人吧,https://zhuanlan.zhihu.com/p/37514182,我估计，在我有生之年，被问到“看过最燃的一幕漫画是什么”时，我还是会说：“悟空变成超级赛亚人的瞬间。”想一想，为什么呢？大概是稀有吧？到后来，《龙珠》里超级赛亚人遍地跑，发型和光焰随意变，甚至头发颜色也从黑变金从金变赤橙黄绿青蓝紫时，那美…
奢侈品凭什么卖这么贵？,https://zhuanlan.zhihu.com/p/24692269,奢侈品凭啥卖这么贵？许多人会简单回一句：忽悠有钱人呗。 那，有钱人都是笨蛋吗，这么容易被忽悠？并非如此。大多数有钱人，那是相当精明啊。但看着奢侈品品牌高价摆谱（比如Penhaligons这类货，至于一些假装奢侈品寻求溢价的品牌，那就算了），还是愿打愿…
好汉，饶我老虎一条命吧！,https://zhuanlan.zhihu.com/p/25048547,武松手提哨棒便走。酒家赶出来叫道：“你且回来我家看抄白官司榜文。”武松道： “甚麽榜文？”酒家道：“如今前面景阳冈上有只吊睛白额大虫，冈子路口都有榜文；可教往来客人结夥成队， 於巳午未三个时辰过冈；其馀寅卯申酉戌亥六个时辰不许过冈。更兼单身…
南京大屠杀逝者30万，抗日战争逝者1800万，二战逝者7000万：这就是他妈的战争,https://zhuanlan.zhihu.com/p/31990877,今天是，南京大屠杀死难者国家公祭日。八十年前的今日，南京，侵华日军开始那臭名昭著的屠杀纵掠。 去年此时，写过的话：对1937年的事，记住南京大屠杀，记住侵华日军曾经犯下过的反人类战争罪行，记住战争的可怕，记住不加约束的人性可以多么扭曲。我个人…
低端帮会也配留在武林？我江湖自有规矩在此,https://zhuanlan.zhihu.com/p/31700692,“师父，为啥那些姑娘女侠刚和我语笑晏晏，一听说我是巨鲸帮的，立刻就翻个白眼？” “傻孩子，报啥帮名儿啊，以后就说你是海上游迹的一介少年浪子，最爱读麦尔维尔的《白鲸》，喜欢闻龙涎香与海风混合的味道。姑娘们立刻扑你怀里。” “怎么，我混帮派还丢…
习惯一个人自由自在——这种状态正常吗？,https://zhuanlan.zhihu.com/p/45813754,2004年秋天，我升大三，领了一笔版税，寻思租房住。找租房中介，在大学附近的所在看房子，看中了一处单间，租了。当时房间里，一张棕棚床，一张桌子，两张椅子，一个衣柜而已。房东走后，我躺在床上看天花板，觉得自己自由了——以前，在家里住，在宿舍住，…
中国的事，多坏在一个苟字上,https://zhuanlan.zhihu.com/p/27555668,<b>昨晚发公众号的。当然没啥意义，一时意气文字游戏而已。</b><b>有几位相熟又知道内情的前辈劝我，说内情不算简单，别多写免得被封，所以删了。</b><b>知乎私信里有几位要，所以这里发一遍当个存底。</b><b>知乎专栏的一个好处是：即便有什么不大对，不会突然封了。最多善意地保护…</b>
怎么，您以为翻译腔只是“见鬼，老伙计，我要踢你的屁股”吗？,https://zhuanlan.zhihu.com/p/29661901,“啊我的上帝，老伙计，我发誓，你再这么说，我就要踢你的屁股了！”“嘛，如果这样的话，总觉得会比较困扰呢。”“人们普遍相信，对待政治学真正科学的或哲学的态度，和对一般意义上的社会生活更深刻的理解，必定建立在对历史的沉思和阐释的基础之上。” …
周芷若喂的饭，赵敏涮的肉，黄蓉炖的汤，程灵素炒的豆芽菜,https://zhuanlan.zhihu.com/p/30405526,金庸有一个妙处：武功风格，凑着人物性格。比如洪七公刚正侠义，用的便是阳刚简朴的降龙十八掌；黄药师聪慧绝伦，便自创了华丽斑斓的落英神剑掌。令狐冲性子潇洒，便独孤九剑无招胜有招；黑白子性格阴鸷，便用了滴水成冰的玄天指。武功体现人格。吃的东西，…
谁说只有中国北方人民爱吃硬菜的？？？,https://zhuanlan.zhihu.com/p/53627108,我有个同学的男朋友，江苏张家港人，在牛津读人类学；某年冬天到得巴黎，嗷嗷叫要吃东西。“不要去订法餐！我要硬菜！硬菜！！”到得一个韩国人开的烧烤馆，叫了牛羊肉串、烤五花肉，部队锅里加双份牛肉和方便面，甩开腮帮胡吃海塞。我们看愣了，他还委屈：…
希望斯蒂芬·库里一直是这样的少年吧,https://zhuanlan.zhihu.com/p/28128292,与其他大多数球员一样，斯蒂芬·库里真人看上去，比电视屏幕上健壮得多。屏幕上，他身旁经常站着其他筋肉怪物，比如勒布朗，所以不显；真人看去，则小腿与前臂的肌肉线缕分明，极低的体脂率一望而知。那是自然的：从戴维森大学的射手到NBA史上最强进攻武器…
“我去买几个橘子，你就站在此地，不要走动”,https://zhuanlan.zhihu.com/p/33403470,“我去买几个橘子，你就站在此地，不要走动。”已经是个名梗了，占便宜用的。说来也多亏《背影》是知名课文，说不定老师还要求学生背，所以大家都知道。 所以了，伦理哏的妙处到底何在呢？中国人传统重伦理尊卑，所以乱了尊卑，是毁骂的关键。《战国策·赵…
领导们为何要刻意展现粗鲁？,https://zhuanlan.zhihu.com/p/25529835,刘邦为人，粗鲁无文，还爱对人洗脚。见大说客郦生时洗脚，见九江王英布时洗脚。没事就箕踞，大岔着两条腿。骂人也凶，动不动就“乃公于马上取天下”，乃公者，“你老子”是也。然而终于取天下，定汉室四百年江山，也真奇怪——那么多手下能忍他呢？ 基辛格…
是只有我一个人丧，还是这时代每个人都很丧？,https://zhuanlan.zhihu.com/p/34757199,“是只有我一个人受苦，还是每个人都很苦？” 我陪一位长辈，蹭过许多饭局；不知是否巧合，每次吃饭，他都会这一段： “我小时候，在某某乡村长大，家里很苦啊（此处描述里，加一些细节，感官印象鲜明生动，对桌的人都停箸不食，面露不忍之色）；后来还生了…
周星驰有多久没出演无厘头喜剧了？,https://zhuanlan.zhihu.com/p/56421493,一般的说法是：《长江七号》之后，周星驰不演电影了。而在那之前，周星驰的电影就……不那么好笑，或曰，不那么无厘头了。其实严格来说，从<b>差不多22年前开始</b>，周星驰就在大幅度减少电影产品数量、演员转幕后、改变风格了。换言之：周星驰不那么无厘头，已经<b>…</b>
我们被方文山+周杰伦少年意气的词曲，哄了多久呢？,https://zhuanlan.zhihu.com/p/48638980,我就站在布拉格黄昏的广场，没有许愿池让我许希望，就像汉谟拉比前没有橱窗，方文山骗得我不敢看。 ——嗯，事实是：10月我去了布拉格老城广场，没看到许愿池。罗马倒是有许愿池，但在布拉格西边几百公里呢。 就像卢浮宫的汉莫拉比法典的确刻在黑色的玄武岩…
